KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
KR,KRR,DR,DRR,AR,ARR,bias_dg,bias_k,bias_a
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-100,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-90,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-80,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-70,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-60,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-50,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-40,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-30,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-20,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,-10,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,0,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,10,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,20,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,30,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,40,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,50,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,60,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,70,0,0
0.06641151612971637,1.4564313193757883e-05,0.0573341370025839,7.851004813403721e-05,0.15618552470644093,1.0772173905056765e-05,80,0,0
