KR,KRR,DR,DRR,AR,ARR,Q_sigma,P_sigma,Pv_sigma
0.105484293086938,0.000235942942025544,0.108126274226603,0.000169847084077512,0.125012733072744,2.7548215242288E-05,1.00E-14,1.00E+04,1.00E+00
0.105484293571879,0.000235942942922415,0.108126274625496,0.000169847084652687,0.125012733072744,2.7548215242288E-05,1.00E-13,1.00E+04,1.00E+00
0.139303939685127,0.000151039470515178,0.122934952467955,0.000130687394452948,0.117933199052762,2.12665447612337E-05,1.00E-08,1.00E+03,1.00E-01
0.145500220449313,0.000154756795548389,0.123251350443299,0.000129631614819654,0.107377558347097,2.03645663052887E-05,1.00E-08,1.00E+04,1.00E-01
0.145535527210837,0.000154758822981979,0.123249291584984,0.000129692354909628,0.107412853948901,2.03729161463633E-05,1.00E-08,1.00E+07,1.00E-01
0.14554371895754,0.000154793858052511,0.123250505856801,0.000129624573836159,0.107235042305643,2.03562909916558E-05,1.00E-08,1.00E+06,1.00E-01
0.145555013449961,0.000154795505360528,0.123244788970811,0.000129613938083406,0.10725911924911,2.0354776089259E-05,1.00E-08,1.00E+05,1.00E-01
0.146704048904338,2.50018392574356E-05,0.0974405978532427,4.42579340742759E-05,0.0664526545815568,1.1105822927171E-05,1.00E-06,1.00E+03,1.00E-01
0.151593020148053,5.27729489283309E-05,0.101121751932723,4.87598573134287E-05,0.114547087537269,1.91943180911494E-05,1.00E-07,1.00E+03,1.00E-01
0.153288078348362,2.56644802073974E-05,0.0986685442437844,4.37515978515767E-05,0.0574048732542541,1.11076613285471E-05,1.00E-06,1.00E+07,1.00E-01
0.153611765518673,2.56514645362437E-05,0.0987026505886397,4.37960098042207E-05,0.0580083949150983,1.11105214992874E-05,1.00E-06,1.00E+04,1.00E-01
0.153672110984868,2.56565274545046E-05,0.098705969808756,4.37794882450221E-05,0.057914773374812,1.11104783048845E-05,1.00E-06,1.00E+06,1.00E-01
0.153675486505432,2.56562353102337E-05,0.0987059885649973,4.37799923126115E-05,0.0579223493642644,1.11105097097023E-05,1.00E-06,1.00E+05,1.00E-01
0.156056113665723,0.000249259473143961,0.124011442490085,0.000159807255907402,0.117971882342941,2.12956826165476E-05,1.00E-09,1.00E+03,1.00E-01
0.156652290725958,0.00025431666373893,0.124024014866437,0.000160202332672814,0.117972269797163,2.1295975183397E-05,1.00E-10,1.00E+03,1.00E-01
0.156658429946396,0.000254369762136838,0.124024141724349,0.000160206299069323,0.117972273765247,2.1295978125915E-05,1.00E-11,1.00E+03,1.00E-01
0.156658489902618,0.000254370289907113,0.124024141645551,0.000160206336401276,0.11797227376834,2.12959781401726E-05,1.00E-12,1.00E+03,1.00E-01
0.156658490083524,0.00025437029408453,0.124024141253159,0.000160206336041109,0.117972273757093,2.12959781327098E-05,1.00E-14,1.00E+03,1.00E-01
0.156658491096423,0.000254370296759153,0.124024142104124,0.000160206337656765,0.117972273757013,2.12959781327598E-05,1.00E-13,1.00E+03,1.00E-01
